fc_code,state,fc_type,public_address,google_maps_search_url,map_pairing_status,source_url,source_date,checked_date
COX1,KL,RSR,"Warehouse Box Number : 1, Avigna Parks Private Limited, Resurvey No 219/1, Panchayat Raod, Aluva Taluk, Parakkadavu Junction, Ernakulam, 683579",https://www.google.com/maps/search/?api=1&query=Amazon%20COX1%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
MAA4,TN,Core,"Indo Space AS Industrial Park Private Limited, Survey No.139-157/2, Durainallur Village, Puduvoyal Post, Ponneri Taluk, Thiruvallur District Tamil Nadu – Pin 601206",https://www.google.com/maps/search/?api=1&query=Amazon%20MAA4%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
CJB1,TN,Core,"Survey No.153-1 153-2226-2,229-2,230-2, Chettipalayam, Oratakuppai Village, Palladam Main Road, Coimbatore - 641201",https://www.google.com/maps/search/?api=1&query=Amazon%20CJB1%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
LMAA,TN,H&B,"28-1F, Sethupakkam Road, Sethupakkam Thiruvallur 601103",https://www.google.com/maps/search/?api=1&query=Amazon%20LMAA%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
SMAB,TN,H&B,"Survey No: 77/2A3, Siruvapuri Murugan Industrial and Logistics Parks Pvt Ltd,Thamaripakkam, Agaram and Settupakkam Village,Thiruvallur Taluk, Thiruvallur Dist, Tamilnadu – 601103",https://www.google.com/maps/search/?api=1&query=Amazon%20SMAB%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
SCJB,TN,H&B,"MAVEL INDUSTRIAL AND LOGISTICS PARKS PRIVATE LIMITED S No. 10/3A2, 10/3B, 11/2, 12/1A, 12/1B2, 12/2, 12/3, 12/4, 12/5 Belathur Village, Hosur Tk Krishnagiri 635124",https://www.google.com/maps/search/?api=1&query=Amazon%20SCJB%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
SMAH,TN,H&B,"IndoSpace Vishnuvakkam Shirina Industrial and Logistics Park Pvt Ltd Building - 350, Survey No. 278-1A, 282, 284-3, 286-2 Thiruvallur Taluk, Karikalavakkam Tiruvallur 602021",https://www.google.com/maps/search/?api=1&query=Amazon%20SMAH%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
SCJY,TN,H&B,"NDR Space Pvt. Ltd. S.F. No. 122/1A, 123/1, 123/2, 126/1B, 126/2A2, 126/2B2, Thirumalaiyampalayam Village and Town Panchayat, Madukkarai Taluka, Coimbatore 641105",https://www.google.com/maps/search/?api=1&query=Amazon%20SCJY%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
HYD8,TS,Core,"Survey no.99/1,Mamidipally Village,Shamshabad,Hyderabad-500108",https://www.google.com/maps/search/?api=1&query=Amazon%20HYD8%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
HYD3,TS,Core,"Survey no.99/1,Mamidipally Village,Shamshabad,Hyderabad-500108",https://www.google.com/maps/search/?api=1&query=Amazon%20HYD3%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
XSAD,TS,MPS,"Aruna Warehousing Company, Unit no 2, Banda Mylaram Village, Mulugu Mandal, Siddipet Dist Hyderabad,Telangana,502279",https://www.google.com/maps/search/?api=1&query=Amazon%20XSAD%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
XSIP,TS,MPS,"Aruna Warehousing Company, Unit no 2, Banda Mylaram Village, Mulugu Mandal, Siddipet Dist Hyderabad,Telangana,502279",https://www.google.com/maps/search/?api=1&query=Amazon%20XSIP%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
SHTX,TS,H&B,"Sri Aditya industrial Logistics Parks Private Limited Survey Nos 1,2,4,7,8,9,10,11,12 of Baswapur Village, Survey No 245 of Kothur Village Mulugu Mandal 502336",https://www.google.com/maps/search/?api=1&query=Amazon%20SHTX%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
SHTI,TS,H&B,"Sai Sankalpa Infra projects Pvt Ltd Survey Number 345,349,350 Village Kongar Kalan Ibrahimpatnam Telangana 501510",https://www.google.com/maps/search/?api=1&query=Amazon%20SHTI%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
HBX2,TS,H&B IXD,"Sai Sankalpa Infra projects Pvt Ltd Survey Number 345,349,350 Village Kongar Kalan Ibrahimpatnam Telangana 501510",https://www.google.com/maps/search/?api=1&query=Amazon%20HBX2%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
